Manufacturer	Model	Price	Store Location	Store Link	Step Angle	Max Amperage	Holding Torque	Rotor Inertia	Inductance	Resistance	Weight	Body	Length	Specs Link	COMMENTS		
Moons	MS17HD6P4150-01	£4.95	UK; Second-Hand	https://www.ebay.co.uk/itm/335952061699	1.8 deg	1.5 A	62 N/cm	62 g/cm²	4.9 mH	2.20 Ω	360 g	N17	48 mm	https://www.moonsindustries.com/p/nema-17-standard-hybrid-stepper-motors/ms17hd6p4150-000004611110008904	Spares from a Lulzbot Mini 2		
Hanpose	42HS38	£5.19	China; Aliexpress	https://aliexpress.com/item/1005008866473376.html?s	1.8 deg	1.5 A	40 N/cm	54 g/cm²	2.8 mH	1.50 Ω	280 g	N17	40 mm				
Hanpose	17HS8401S-MD	£6.04	China; Aliexpress	https://aliexpress.com/item/1005009231016390.html?spm=a2g0o.store_pc_allItems_or_groupList.0.0.1fb31793zPXcsy&pdp_npi=4%40dis%21GBP%21%EF%BF%A17.19%21%EF%BF%A16.04%21%21%219.59%218.06%21%40211b804117510285062394301e05f0%2112000048403649970%21sh%21UK%212938689745%21X&gatewayAdapt=glo2vnm	1.8 deg	1.8 A	52 N/cm	68 g/cm²	3.4 mH	1.80 Ω	400 g	N17	48 mm		Has options to buy 1, 3 or 5		
Leadshine / YunTaiKe	42CM06	£6.77	China; Taobao	https://item.taobao.com/item.htm?id=630402763923	1.8 deg	2.5 A	60 N/cm	72 g/cm²	1.6 mH	0.90 Ω	350 g	N17	47 mm	https://www.leadshine.com/product-detail/42CM06.html	Taobao item; Would need proxy, likely costly shipping unless part of a GB		
RATTM	17HS4402	£7.19	China; Aliexpress	https://aliexpress.com/item/1005008722128340.html	1.8 deg	1.3 A	40 N/cm	54 g/cm²	5.0 mH	2.50 Ω	280 g	N17	40 mm				
Lerdge	42BYGH40	£7.23	China; Aliexpress	https://aliexpress.com/item/1005005412531058.html	1.8 deg	1.5 A	35 N/cm	57 g/cm²	3.6 mH	3.50 Ω	283 g	N17	40 mm				
RATTM	17HS3430	£7.60	China; Aliexpress	https://aliexpress.com/item/1005008722249224.html?	1.8 deg	1.2 A	28 N/cm	34 g/cm²	3.8 mH	2.30 Ω	220 g	N17	34 mm				
Hanpose	17HS3401	£7.69	China; Aliexpress	https://aliexpress.com/item/1005006721929887.html	1.8 deg	1.3 A	28 N/cm	34 g/cm²	2.9 mH	2.20 Ω	220 g	N17	34 mm				
Cloudray	17CS03A-150E	£7.91	China; Aliexpress	https://aliexpress.com/item/1005007259697199.html	1.8 deg	1.5 A	30 N/cm	82 g/cm²	5.8 mH	2.40 Ω	400 g	N17	47 mm				
Stepperonline	17HS16-2004S1 	£7.93	China; Aliexpress	https://aliexpress.com/item/32746166605.html	1.8 deg	2.0 A	45 N/cm		2.6 mH	1.10 Ω	310 g	N17	40 mm				
